city,city_id,clouds,country,humidity,latitude,longitude,temp,wind_speed
cape town,6529,75,za,88,-46,6,66.2,8.05
bredasdorp,6591,48,za,77,-89,23,69.8,17.22
husavik,4826,40,is,69,71,-12,35.6,19.46
chatra,7788,0,in,51,24,85,80.6,11.41
cape town,6529,75,za,88,-56,-11,66.2,8.05
thompson,3406,5,ca,64,67,-89,-4.01,4.7
oudtshoorn,6549,0,za,88,-34,22,64.4,5.82
warrington,2341,90,us,93,29,-87,37.4,3.36
torrington,3095,1,us,73,42,-73,19.4,4.7
comodoro rivadavia,4741,0,ar,71,-50,-62,53.6,4.7
punta arenas,4642,90,cl,66,-62,-89,53.6,13.87
saint-philippe,6792,0,re,61,-23,56,84.2,4.7
menzelinsk,7336,40,ru,83,56,53,-7.61,8.95
cape town,6529,75,za,88,-44,2,66.2,8.05
tasiilaq,4806,32,gl,56,85,-38,14.0,1.12
ushuaia,4754,40,ar,71,-77,-54,51.8,13.24
cape town,6529,75,za,88,-50,9,66.2,8.05
vila velha,4498,20,br,94,-27,-23,77.0,4.7
east london,6538,0,za,47,-53,45,80.6,11.41
ushuaia,4754,40,ar,71,-76,-20,51.8,13.24
cape town,6529,75,za,88,-54,1,66.2,8.05
mahebourg,6729,40,mu,88,-43,77,78.8,8.05
ushuaia,4754,40,ar,71,-77,-52,51.8,13.24
bambous virieux,6729,40,mu,88,-30,82,78.8,8.05
ushuaia,4754,40,ar,71,-73,-42,51.8,13.24
sept-iles,3855,20,ca,64,51,-65,1.4,6.93
bredasdorp,6591,48,za,77,-82,23,69.8,17.22
strezhevoy,7314,40,ru,91,62,80,3.2,4.47
punta arenas,4642,90,cl,66,-61,-85,53.6,13.87
bredasdorp,6591,48,za,77,-49,23,69.8,17.22
punta arenas,4642,90,cl,66,-74,-85,53.6,13.87
klaksvik,5266,64,fo,93,65,-6,42.8,12.75
porto novo,6190,20,cv,72,14,-38,62.6,3.36
abu dhabi,7097,20,ae,68,23,55,71.6,1.12
novolabinskaya,7295,90,ru,100,45,40,35.6,8.95
aquiraz,4498,20,br,94,0,-35,77.0,4.7
jorpeland,5343,0,no,86,59,6,28.4,2.24
punta arenas,4642,90,cl,66,-55,-88,53.6,13.87
coquimbo,4666,0,cl,93,-27,-79,60.8,5.82
victoria,6865,20,sc,74,-4,63,84.2,2.24
roald,5271,76,no,64,75,0,33.8,9.17
cape town,6529,75,za,88,-55,3,66.2,8.05
notre-dame-du-lac,1354,1,ca,72,47,-69,10.4,6.93
brae,5126,48,gb,80,63,-2,41.0,13.87
longyearbyen,5326,20,sj,62,82,16,23.0,25.28
kardla,5015,56,ee,77,59,23,-0.41,3.85
ushuaia,4754,40,ar,71,-81,-47,51.8,13.24
harnosand,5405,48,se,85,62,18,14.0,4.7
ushuaia,4754,40,ar,71,-81,-39,51.8,13.24
port elizabeth,6596,0,za,39,-64,30,82.4,10.29
port elizabeth,6596,0,za,39,-48,29,82.4,10.29
klaksvik,5266,64,fo,93,77,-5,42.8,12.75
ushuaia,4754,40,ar,71,-76,-43,51.8,13.24
williamsport,2376,90,us,93,41,-77,39.2,8.05
grand gaube,6729,40,mu,88,-14,69,78.8,8.05
clyde river,3585,90,ca,68,73,-70,-16.61,5.82
saint-joseph,6792,0,re,61,-34,57,84.2,4.7
klaksvik,5266,64,fo,93,66,-3,42.8,12.75
east london,6538,0,za,47,-75,53,80.6,11.41
cape town,6529,75,za,88,-49,-1,66.2,8.05
ushuaia,4754,40,ar,71,-63,-71,51.8,13.24
punta arenas,4642,90,cl,66,-61,-84,53.6,13.87
chicama,4404,20,pe,88,-12,-86,69.8,4.7
tornio,5047,75,fi,84,67,23,6.8,3.36
thunder bay,3717,90,ca,85,48,-89,14.0,2.51
coihaique,4643,0,cl,81,-44,-72,50.0,6.93
punta arenas,4642,90,cl,66,-81,-87,53.6,13.87
beira,6845,75,mz,94,-21,36,73.4,5.75
tasiilaq,4806,32,gl,56,67,-33,14.0,1.12
punta arenas,4642,90,cl,66,-71,-88,53.6,13.87
locri,5763,40,it,67,37,17,59.0,14.99
tasiilaq,4806,32,gl,56,75,-32,14.0,1.12
punta arenas,4642,90,cl,66,-67,-81,53.6,13.87
ystad,5397,0,se,100,55,14,17.6,3.62
punta alta,4727,0,ar,73,-39,-62,69.8,2.24
cape town,6529,75,za,88,-40,12,66.2,8.05
ancona,5871,90,it,100,44,14,33.8,9.17
hamilton,4169,75,bm,68,29,-67,68.0,5.82
ushuaia,4754,40,ar,71,-80,-49,51.8,13.24
anloga,6337,20,gh,88,3,1,80.6,5.82
ushuaia,4754,40,ar,71,-70,-69,51.8,13.24
formosa,4723,0,ar,88,-26,-59,69.8,5.82
ilulissat,4805,32,gl,69,87,-42,-9.41,11.41
mitsamiouli,6787,20,km,83,-11,43,78.8,1.12
ushuaia,4754,40,ar,71,-76,-50,51.8,13.24
wilmington,636,90,us,93,32,-76,39.2,10.29
port-cartier,3855,20,ca,64,54,-69,1.4,6.93
cayenne,4338,75,gf,100,8,-47,71.6,5.41
east london,6538,0,za,47,-82,56,80.6,11.41
bredasdorp,6591,48,za,77,-76,22,69.8,17.22
milledgeville,784,1,us,100,33,-83,66.2,5.97
linkoping,5424,76,se,100,58,16,28.4,10.29
torbay,3467,20,ca,61,36,-47,14.0,21.92
houma,1188,75,us,94,28,-90,73.4,6.93
bredasdorp,6591,48,za,77,-88,21,69.8,17.22
riyadh,7001,0,sa,44,24,46,59.0,3.36
nantucket,1287,90,us,100,38,-67,35.6,10.29
ushuaia,4754,40,ar,71,-87,-16,51.8,13.24
ushuaia,4754,40,ar,71,-88,-21,51.8,13.24
saint-philippe,6792,0,re,61,-44,63,84.2,4.7
cape town,6529,75,za,88,-50,-3,66.2,8.05
kamyaran,7025,40,ir,86,35,47,46.4,1.12
mahebourg,6729,40,mu,88,-46,79,78.8,8.05
punta arenas,4642,90,cl,66,-71,-82,53.6,13.87
punta arenas,4642,90,cl,66,-55,-76,53.6,13.87
praia da vitoria,5951,20,pt,82,44,-25,57.2,16.49
clyde river,3585,90,ca,68,69,-77,-16.61,5.82
ushuaia,4754,40,ar,71,-74,-73,51.8,13.24
port-cartier,3855,20,ca,64,55,-70,1.4,6.93
adeje,5518,20,es,77,26,-18,59.0,4.7
east london,6538,0,za,47,-79,56,80.6,11.41
cayenne,4338,75,gf,100,16,-42,71.6,5.41
